strategy,engine_id,n_cycles,health_rmse,health_mae,health_ci_coverage
fixed_parameters,1,31,0.14317190022268952,0.13554516037234618,0.0
fixed_parameters,2,49,0.1786069206424576,0.16772782412919282,0.0
fixed_parameters,3,126,0.12629837244980613,0.09426669820699801,0.42063492063492064
fixed_parameters,4,106,0.11536684780022807,0.08478746193174655,0.42452830188679247
fixed_parameters,5,98,0.12770498210384965,0.09733776399421472,0.3877551020408163
fixed_parameters,6,105,0.12118660101702046,0.09135019657664871,0.3619047619047619
fixed_parameters,7,160,0.05602367035744671,0.038795805926129814,0.68125
fixed_parameters,8,166,0.0875278597907175,0.05845283391711976,0.6385542168674698
fixed_parameters,9,55,0.18125399703193695,0.16193327974566674,0.01818181818181818
fixed_parameters,10,192,0.05360618785213361,0.03746448793184531,0.796875
fixed_parameters,11,83,0.16396851832616938,0.13715113498133855,0.0963855421686747
fixed_parameters,12,217,0.05128683017220289,0.03538016256111894,0.7741935483870968
fixed_parameters,13,195,0.05549372878295577,0.03936409455010369,0.7230769230769231
fixed_parameters,14,46,0.19902303389865358,0.18306319394168377,0.0
fixed_parameters,15,76,0.09075791232957996,0.0741937061383645,0.27631578947368424
fixed_parameters,16,113,0.07213991155446438,0.0553320929941131,0.5486725663716814
fixed_parameters,17,165,0.06358692175384661,0.0476418733762498,0.6121212121212121
fixed_parameters,18,133,0.07356284601295493,0.058769010993600906,0.44360902255639095
fixed_parameters,19,135,0.06629154927442904,0.048133016423014124,0.6222222222222222
fixed_parameters,20,184,0.07772326448700305,0.05842323911401814,0.4945652173913043
fixed_parameters,21,148,0.06278670340506731,0.04457622366805871,0.6621621621621622
fixed_parameters,22,39,0.18709143953158905,0.1773456147222741,0.0
fixed_parameters,23,130,0.056992177014968386,0.04039220482569641,0.7
fixed_parameters,24,186,0.05659916333228727,0.04320580227554672,0.6236559139784946
fixed_parameters,25,48,0.13138961401734683,0.11624622140452663,0.0625
fixed_parameters,26,76,0.09516627863118825,0.0768745161032491,0.3684210526315789
fixed_parameters,27,140,0.066463357002321,0.04822970324769484,0.6214285714285714
fixed_parameters,28,158,0.09255182937388753,0.06295090912666118,0.569620253164557
fixed_parameters,29,171,0.06789189269069323,0.04613270151037168,0.6666666666666666
fixed_parameters,30,143,0.10677663067108978,0.07248039526781236,0.5244755244755245
fixed_parameters,31,196,0.07081079605725021,0.05539252530423611,0.45918367346938777
fixed_parameters,32,145,0.058046223908118984,0.04584909522373502,0.6482758620689655
fixed_parameters,33,50,0.2077920354739023,0.19286263044266225,0.0
fixed_parameters,34,203,0.06491635834955727,0.052816397692103494,0.4482758620689655
fixed_parameters,35,198,0.10558288070535247,0.07166209937539536,0.5202020202020202
fixed_parameters,36,126,0.14148888625871114,0.11250412479914285,0.21428571428571427
fixed_parameters,37,121,0.07448138891902518,0.06414808873671107,0.35537190082644626
fixed_parameters,38,125,0.13708738259946915,0.1018806765126884,0.384
fixed_parameters,39,37,0.12154504664504674,0.11020439245825693,0.02702702702702703
fixed_parameters,40,133,0.13361534050898272,0.09963903412110327,0.3458646616541353
fixed_parameters,41,123,0.07699118329164907,0.0651882634717597,0.3170731707317073
fixed_parameters,42,156,0.07351645300534797,0.05994749867827799,0.4423076923076923
fixed_parameters,43,172,0.07595499180255588,0.051036058417427116,0.6627906976744186
fixed_parameters,44,54,0.15135874629598614,0.13885912672460995,0.0
fixed_parameters,45,152,0.109470766437472,0.07368814801514156,0.5855263157894737
fixed_parameters,46,146,0.09408224137909599,0.0690042925872852,0.541095890410959
fixed_parameters,47,73,0.17815507595240956,0.1490270940961675,0.136986301369863
fixed_parameters,48,78,0.12375593063334113,0.10002946302254573,0.28205128205128205
fixed_parameters,49,303,0.05062720273740092,0.03789726423301206,0.7095709570957096
fixed_parameters,50,74,0.1056097516104136,0.0895588171802347,0.16216216216216217
fixed_parameters,51,144,0.09107436964014021,0.06518010321498438,0.5486111111111112
fixed_parameters,52,189,0.053655197709271824,0.041256611382112125,0.6507936507936508
fixed_parameters,53,164,0.07332975185592962,0.05444045685555642,0.5609756097560976
fixed_parameters,54,121,0.05634402357877237,0.04096488447654227,0.6446280991735537
fixed_parameters,55,113,0.08175552080489083,0.05914222806916916,0.5575221238938053
fixed_parameters,56,136,0.13441010136571419,0.10230703686947028,0.29411764705882354
fixed_parameters,57,160,0.09229691932080501,0.06296420544111556,0.6375
fixed_parameters,58,176,0.07024143635678884,0.050165061902612156,0.5909090909090909
fixed_parameters,59,94,0.06824443457162395,0.0512173535333571,0.5425531914893617
fixed_parameters,60,147,0.08895475458937491,0.05957407033991739,0.6122448979591837
fixed_parameters,61,159,0.0694191752604751,0.05634638366651072,0.4025157232704403
fixed_parameters,62,232,0.049077536243757276,0.03597933812770676,0.7327586206896551
fixed_parameters,63,155,0.09734353601308446,0.06559647731671275,0.567741935483871
fixed_parameters,64,168,0.08214693372854362,0.061276256626631526,0.5178571428571429
fixed_parameters,65,71,0.07345617469497423,0.05813805034716031,0.4507042253521127
