strategy,engine_id,n_cycles,health_rmse,health_mae,health_ci_coverage
one_shot,1,31,0.14264935322286573,0.13471589562377703,0.0
one_shot,2,49,0.17176587530820256,0.15539142823891433,0.08163265306122448
one_shot,3,126,0.11751534432362419,0.0796119339771828,0.626984126984127
one_shot,4,106,0.10970085791365172,0.07421711208906687,0.6226415094339622
one_shot,5,98,0.12356545684054641,0.08936780732858336,0.4897959183673469
one_shot,6,105,0.1146105789663128,0.07963340220057784,0.5714285714285714
one_shot,7,160,0.05627866811624038,0.040048490624154505,0.66875
one_shot,8,166,0.0847272176929859,0.05393774948985541,0.7108433734939759
one_shot,9,55,0.1761086854575161,0.15197549127442936,0.09090909090909091
one_shot,10,192,0.054057279587050214,0.03763861186887072,0.7864583333333334
one_shot,11,83,0.15278804522577505,0.11432946839624177,0.42168674698795183
one_shot,12,217,0.05252961383827191,0.03744454320981356,0.7419354838709677
one_shot,13,195,0.05450908449281915,0.037875588614585474,0.7846153846153846
one_shot,14,46,0.19217849187680874,0.1690875736516508,0.043478260869565216
one_shot,15,76,0.08861236558575114,0.06984192041206204,0.3684210526315789
one_shot,16,113,0.07007441402129339,0.05172290622160205,0.6194690265486725
one_shot,17,165,0.058748380256711856,0.04029795258094112,0.7151515151515152
one_shot,18,133,0.06730137369472318,0.04900967542363479,0.6240601503759399
one_shot,19,135,0.06403645433340109,0.04468363698125687,0.7037037037037037
one_shot,20,184,0.0736857451547993,0.05229045292088847,0.6684782608695652
one_shot,21,148,0.06223747875878427,0.04482019533286775,0.6891891891891891
one_shot,22,39,0.18129378176188896,0.16678553842448127,0.02564102564102564
one_shot,23,130,0.056164165123010146,0.03946620331701729,0.7384615384615385
one_shot,24,186,0.05136649171341345,0.03650482331238581,0.7311827956989247
one_shot,25,48,0.12918833917285671,0.11263292456381276,0.14583333333333334
one_shot,26,76,0.09322707106141553,0.07221517151561539,0.42105263157894735
one_shot,27,140,0.06299065510493379,0.043345065822922156,0.7285714285714285
one_shot,28,158,0.08777198063826638,0.055194663313997985,0.7215189873417721
one_shot,29,171,0.06732580110600629,0.04481738595170417,0.7192982456140351
one_shot,30,143,0.10474134541362004,0.07025366388631421,0.6293706293706294
one_shot,31,196,0.06504486795320959,0.04793947541234886,0.6530612244897959
one_shot,32,145,0.050977270906800314,0.03435158913081181,0.7793103448275862
one_shot,33,50,0.19800717901487302,0.17436218624158184,0.1
one_shot,34,203,0.05395854208832371,0.04081752068120902,0.7093596059113301
one_shot,35,198,0.10128010719647042,0.06687637405997869,0.6666666666666666
one_shot,36,126,0.12731969609966137,0.08596660176172127,0.6507936507936508
one_shot,37,121,0.06623898817292705,0.050923846318573586,0.6033057851239669
one_shot,38,125,0.12433511472761496,0.08081463162406409,0.632
one_shot,39,37,0.1206524249075742,0.10903055360771723,0.08108108108108109
one_shot,40,133,0.12411446378105893,0.08258702193538683,0.6541353383458647
one_shot,41,123,0.06891662743425232,0.05270650078138448,0.5691056910569106
one_shot,42,156,0.06332147875700209,0.046942543548058734,0.6666666666666666
one_shot,43,172,0.07414916906116996,0.048515545487314245,0.7267441860465116
one_shot,44,54,0.1464667165013604,0.12985957418352514,0.05555555555555555
one_shot,45,152,0.10432422849278948,0.06623438395413149,0.6973684210526315
one_shot,46,146,0.09169105459972905,0.0649873609117397,0.5958904109589042
one_shot,47,73,0.16359312973035287,0.11866743608676535,0.4520547945205479
one_shot,48,78,0.1206923198643427,0.09403423969944054,0.41025641025641024
one_shot,49,303,0.0460740347398883,0.032290841709822354,0.8085808580858086
one_shot,50,74,0.10300525032751959,0.08516089015981039,0.28378378378378377
one_shot,51,144,0.09006846757850685,0.06331483148351041,0.5763888888888888
one_shot,52,189,0.04752985336078926,0.03416555963393804,0.7777777777777778
one_shot,53,164,0.07093063835543799,0.050141741840048035,0.6097560975609756
one_shot,54,121,0.05476639143548682,0.03876866776187187,0.71900826446281
one_shot,55,113,0.08107478067752902,0.05794639097852485,0.5752212389380531
one_shot,56,136,0.12272575825609759,0.08343394065259678,0.6102941176470589
one_shot,57,160,0.08926203824732805,0.05874553815880932,0.6875
one_shot,58,176,0.06627342094462041,0.043230370364441405,0.7329545454545454
one_shot,59,94,0.06612412684532164,0.047707864603874876,0.5638297872340425
one_shot,60,147,0.0888098015897282,0.06001856479676443,0.6190476190476191
one_shot,61,159,0.06095517821830812,0.044972949022172616,0.6666666666666666
one_shot,62,232,0.046025040043085046,0.03327584090809609,0.8103448275862069
one_shot,63,155,0.09211909663521009,0.0583246671067696,0.7419354838709677
one_shot,64,168,0.07854109712560148,0.05521818654846904,0.6309523809523809
one_shot,65,71,0.07082433203348207,0.05418430127357819,0.6056338028169014
one_shot,66,147,0.10232955403062528,0.07083775788673222,0.6326530612244898
one_shot,67,71,0.10827609004519675,0.08857227308788758,0.29577464788732394
one_shot,68,187,0.07162748049376791,0.05090145410445893,0.6310160427807486
one_shot,69,54,0.146841915217609,0.1295608087202313,0.12962962962962962
one_shot,70,152,0.08474594809244075,0.05369256509356641,0.7105263157894737
one_shot,71,68,0.09263456295212015,0.07535498159123896,0.36764705882352944
one_shot,72,131,0.07121099146466768,0.051417872148414936,0.6030534351145038
one_shot,73,112,0.06613626846986374,0.04625792328148764,0.6964285714285714
one_shot,74,137,0.09194658299926331,0.060771288743821435,0.6277372262773723
one_shot,75,88,0.09599701941164727,0.07636922787815252,0.38636363636363635
one_shot,76,205,0.05722122115374752,0.04113764229713382,0.697560975609756
one_shot,77,162,0.07211602599822295,0.05212500649272155,0.6172839506172839
one_shot,78,72,0.06628511893822227,0.04942876795986066,0.5416666666666666
one_shot,79,101,0.08981574533739949,0.06844492232032147,0.5148514851485149
one_shot,80,133,0.08865149598363783,0.05864196470616689,0.6541353383458647
one_shot,81,213,0.06536310497391148,0.04603731054532099,0.6619718309859155
one_shot,82,162,0.07587700149193134,0.055079743262972554,0.5864197530864198
one_shot,83,73,0.10642722571285479,0.08121234770119182,0.4383561643835616
one_shot,84,172,0.084650324368995,0.05486886438625516,0.6744186046511628
one_shot,85,34,0.21351208023726378,0.20381894255894362,0.0
one_shot,86,110,0.10553552787052996,0.07524312750470366,0.5454545454545454
one_shot,87,56,0.0983769359573291,0.0839798947904006,0.19642857142857142
one_shot,88,68,0.15908922764537292,0.12948676380522586,0.22058823529411764
one_shot,89,177,0.08202208588026465,0.0503257648637866,0.768361581920904
one_shot,90,146,0.09394906365301313,0.06369814048367366,0.6506849315068494
one_shot,91,234,0.0929218777148535,0.05550759472226361,0.7863247863247863
one_shot,92,150,0.11336131907360154,0.07913453498144388,0.56
one_shot,93,244,0.08579604752659106,0.05030554462362633,0.7581967213114754
one_shot,94,133,0.11033785599694475,0.07350019928110987,0.5939849624060151
one_shot,95,89,0.0895582313822376,0.06843992681316177,0.43820224719101125
one_shot,96,97,0.06894151277729867,0.05059817722461263,0.6701030927835051
one_shot,97,134,0.06720175134169862,0.04667364679006338,0.6716417910447762
one_shot,98,121,0.09749698872726092,0.07360278077434113,0.4380165289256198
one_shot,99,97,0.06246272129955544,0.04483962109284956,0.6391752577319587
one_shot,100,198,0.05966374595626209,0.041213363467119055,0.7373737373737373
periodic,1,31,0.14264935322286573,0.13471589562377703,0.0
periodic,2,49,0.17177399456075093,0.15541541849424295,0.08163265306122448
periodic,3,126,0.11747012031433575,0.07944933383205072,0.6190476190476191
periodic,4,106,0.10977426974509798,0.07433233986320166,0.6037735849056604
periodic,5,98,0.12351449487317469,0.08919075794846922,0.47959183673469385
periodic,6,105,0.1146759411302571,0.08001448021055728,0.5714285714285714
periodic,7,160,0.05639245506532705,0.040300855463672326,0.68125
periodic,8,166,0.08468666817738756,0.05345428533760757,0.7048192771084337
periodic,9,55,0.1761086854575161,0.15197549127442936,0.09090909090909091
periodic,10,192,0.05373804571833262,0.03733956941183725,0.8020833333333334
periodic,11,83,0.1528076298269911,0.11438569744158897,0.42168674698795183
periodic,12,217,0.05277971825819882,0.03755245596933465,0.7142857142857143
periodic,13,195,0.05450796009114843,0.03824038357354012,0.7692307692307693
periodic,14,46,0.19218244303349688,0.16909782093050854,0.043478260869565216
periodic,15,76,0.08861236558575114,0.06984192041206204,0.3684210526315789
periodic,16,113,0.070185066228892,0.051888739042963414,0.6194690265486725
periodic,17,165,0.0590974355357661,0.04087149514678919,0.7272727272727273
periodic,18,133,0.06802962987331654,0.049903352195599396,0.6165413533834586
periodic,19,135,0.06380277392852567,0.04383536628124458,0.7185185185185186
periodic,20,184,0.07420912755138892,0.05335566872945225,0.6304347826086957
periodic,21,148,0.06188428586209738,0.04442625448928913,0.7027027027027027
periodic,22,39,0.18129378176188896,0.16678553842448127,0.02564102564102564
periodic,23,130,0.05622954622135288,0.03974544338040779,0.7307692307692307
periodic,24,186,0.05142606213139779,0.03643131591872204,0.7473118279569892
periodic,25,48,0.1291767361995919,0.112600777317111,0.14583333333333334
periodic,26,76,0.09333997064105114,0.07260557881291728,0.42105263157894735
periodic,27,140,0.06297755865032799,0.043241068951689665,0.7071428571428572
periodic,28,158,0.08775129599129682,0.05558204502726002,0.7151898734177216
periodic,29,171,0.06703407994616678,0.04442753839772667,0.7192982456140351
periodic,30,143,0.10450357596636066,0.06978181122796955,0.6293706293706294
periodic,31,196,0.0660447431772622,0.04920493971061218,0.6173469387755102
periodic,32,145,0.05107216738464148,0.0345739723088323,0.7724137931034483
periodic,33,50,0.19800717901487302,0.17436218624158184,0.1
periodic,34,203,0.054614241606678965,0.04128240931547531,0.6945812807881774
periodic,35,198,0.10101201738824885,0.06583985578972311,0.6515151515151515
periodic,36,126,0.1275142426196152,0.08691977917775369,0.6349206349206349
periodic,37,121,0.06685012403197776,0.05180439035892785,0.5950413223140496
periodic,38,125,0.12427971331830834,0.08024414720834852,0.64
periodic,39,37,0.1206524249075742,0.10903055360771723,0.08108108108108109
periodic,40,133,0.12403884799814434,0.082633151521827,0.6766917293233082
periodic,41,123,0.0696265652892544,0.05363772948447052,0.5447154471544715
periodic,42,156,0.06453543125637867,0.04821339698566557,0.6538461538461539
periodic,43,172,0.07415989649094389,0.048622024983641196,0.7267441860465116
periodic,44,54,0.1464554264581,0.12983211340288375,0.05555555555555555
periodic,45,152,0.10411952936719036,0.06597182665523106,0.6907894736842105
periodic,46,146,0.09131519192360751,0.06421240740561894,0.6164383561643836
periodic,47,73,0.16364621751104386,0.11894652878875259,0.4520547945205479
periodic,48,78,0.12054975249010182,0.09355538621108297,0.4230769230769231
periodic,49,303,0.047044780427478894,0.033480314168518925,0.7854785478547854
periodic,50,74,0.10312552259703653,0.08545791911320898,0.28378378378378377
periodic,51,144,0.09017318744378423,0.06399217270291126,0.5902777777777778
periodic,52,189,0.04839985720245208,0.03506988057392005,0.7513227513227513
