,MK_sig_frac,Monotonicity,Trendability,MI,VIF,MK_norm,Mono_norm,Trend_norm,MI_norm,VIF_norm,Composite
T24,1.0,0.031157088206094138,0.5690253636213461,0.21641332212828157,2.2426171912396566,0.9999999932702703,0.1742910318640721,0.32910400290867864,0.295119457984009,0.9859299877704187,0.5568888947594898
T30,1.0,0.03173008864186782,0.6192042577935664,0.30214854103833666,2.3761462377659486,0.9999999932702703,0.21419577212891028,0.4865379459880089,0.5287766833766556,0.9796282731352596,0.6418277335798209
T50,1.0,0.03217932235791592,0.7274509371468076,0.39924692927015215,3.7937858012613197,0.9999999932702703,0.24548118421224083,0.8261568602138876,0.793402356148842,0.9127247774759804,0.7555530342642442
P30,1.0,0.03554572857776252,0.5843248263309476,0.24230023266036937,8.15084379294267,0.9999999932702703,0.4799235291775292,0.377105354494884,0.365669971131482,0.7070995833575648,0.5859596862863461
Nf,0.8594377510040161,0.031206773964630986,0.574886513390436,0.3217218330147604,23.03848080761433,0.05405405369028482,0.17775123392586864,0.347493087290637,0.5821204684996554,0.00449859504135286,0.23318348768955977
Nc,0.9598393574297188,0.03963551915090425,0.6973859984308778,0.30832849803887186,12.004949368460357,0.7297297248188455,0.7647436102276323,0.7318295154493303,0.5456191388360137,0.5252105177009307,0.6594265014065505
Ps30,1.0,0.03369442850207134,0.7828599308227411,0.47505324751457323,4.863047995580726,0.9999999932702703,0.35099579359390337,0.9999999968625465,0.9999999972746646,0.8622624593957093,0.8426516480794188
phi,1.0,0.03506259767207065,0.6099744269913464,0.2642285258015047,9.736771768435187,0.9999999932702703,0.4462774582465034,0.4575797817813334,0.42543192424820014,0.6322539539348928,0.59230862229624
NRf,0.8514056224899599,0.03813748348850714,0.5752516233796302,0.32479159889472076,23.133802975477437,0.0,0.6604178186866423,0.34863860287452414,0.5904866100600921,4.719358237537108e-11,0.3199086063336904
NRc,0.9678714859437751,0.04301361340884757,0.7132370154280537,0.2994018410387733,11.018082832228966,0.7837837785091311,0.9999999303582724,0.7815613429208179,0.5212910046900793,0.5717842891469337,0.7316840691250468
BPR,1.0,0.031818312795994196,0.7487111978335211,0.4273024501953895,5.799085670092005,0.9999999932702703,0.22033985463862865,0.8928599377930019,0.8698630599258225,0.8180874842425193,0.7602300659740485
htBleed,1.0,0.030120121912473413,0.6478346744328476,0.33201889843509225,2.6831042357453123,0.9999999932702703,0.10207490770972542,0.5763645445586381,0.6101834251980621,0.9651418242421729,0.6507529389957737
W31,1.0,0.028654407157508117,0.46413010018195383,0.11200305023086887,1.9444832028887569,0.9999999932702703,0.0,0.0,0.010566449964803205,1.0,0.4021132886470147
W32,0.9959839357429718,0.030783872986638434,0.4641784045337119,0.10812593109058888,1.9722331369558948,0.9729729664251275,0.14829967921325715,0.0001515526535730919,0.0,0.9986903810804854,0.4240229158744887
