strategy,fleet_rmse,fleet_mae,fleet_mape,mean_trajectory_rmse,median_trajectory_rmse,ci_coverage,phm08_total,n_engines
one_shot,100.08140436664546,86.855,1.53698819430457,157.81732286019425,153.83656981011228,0.99,4727370971.566747,100
periodic,107.53908591763276,91.22,1.551766833814739,167.5172835611259,162.44559808356405,0.99,24258210531.890354,100
