strategy,mean_trajectory_rmse,median_trajectory_rmse,mean_trajectory_mae,median_trajectory_mae,pooled_rmse,pooled_mae,ci_coverage,n_engines,n_cycles_total
one_shot,0.08909575679223797,0.08755636051744577,0.06048240896252224,0.05499201482093323,0.08088281959415318,0.05032923335022916,0.7113159797541576,100,16596
periodic,0.08916982807913705,0.08758088476557475,0.060558716692193794,0.05493226324706946,0.08098087185026558,0.0505350255096918,0.7039045553145337,100,16596
