strategy,engine_id,n_cycles,health_rmse,health_mae,health_ci_coverage
fixed_parameters,1,233,0.06552146113735478,0.04504962651914035,0.6566523605150214
fixed_parameters,2,124,0.09055301107650154,0.06250627170585868,0.532258064516129
fixed_parameters,3,234,0.08656423822837986,0.05450112730885144,0.6410256410256411
fixed_parameters,4,68,0.12932889169516915,0.10578847935751608,0.25
fixed_parameters,5,138,0.051011915420017546,0.03718867727543907,0.6811594202898551
fixed_parameters,6,64,0.1283116901174424,0.10920649862789802,0.125
fixed_parameters,7,158,0.08306841425130701,0.053400566480091366,0.6455696202531646
fixed_parameters,8,192,0.07590706795152381,0.0471472942216671,0.6875
fixed_parameters,9,238,0.06230824699829284,0.03773977728061016,0.7605042016806722
fixed_parameters,10,131,0.08510962124272942,0.05735489033643386,0.5877862595419847
fixed_parameters,11,103,0.10517526151313743,0.07647153561538435,0.44660194174757284
fixed_parameters,12,146,0.08430551210328673,0.0532715229841614,0.6027397260273972
fixed_parameters,13,65,0.11692726950408616,0.09619659492119184,0.2153846153846154
fixed_parameters,14,169,0.07876839421852012,0.04930078367310589,0.6568047337278107
fixed_parameters,15,112,0.07942194134915949,0.05793689982282513,0.5446428571428571
fixed_parameters,16,126,0.048503548734136225,0.03753164401944152,0.6349206349206349
fixed_parameters,17,230,0.06424354020704416,0.03823151119857895,0.7652173913043478
fixed_parameters,18,244,0.04467657984998776,0.029414195149005003,0.8155737704918032
fixed_parameters,19,115,0.08538815463602761,0.05917197348579327,0.5391304347826087
fixed_parameters,20,207,0.07337867280274751,0.04816149471396392,0.6618357487922706
fixed_parameters,21,263,0.04966444246509149,0.038512787451574916,0.596958174904943
fixed_parameters,22,119,0.08582096170202298,0.06231970357128541,0.5042016806722689
fixed_parameters,23,405,0.04968838897500293,0.03073204168261551,0.8345679012345679
fixed_parameters,24,475,0.047174644488688834,0.03154068298470802,0.7684210526315789
fixed_parameters,25,169,0.07977512254108324,0.05003333468043213,0.650887573964497
fixed_parameters,26,130,0.08357498158064526,0.05943005846732932,0.5307692307692308
fixed_parameters,27,104,0.12441233171924423,0.09290773203839303,0.34615384615384615
fixed_parameters,28,70,0.11137742029127484,0.09184971021153188,0.24285714285714285
fixed_parameters,29,89,0.10769336569837458,0.08198420370353868,0.3707865168539326
fixed_parameters,30,333,0.041065345015448035,0.028754984255378115,0.8198198198198198
fixed_parameters,31,152,0.0790918669592758,0.05151890078777986,0.6118421052631579
fixed_parameters,32,120,0.10421821614880449,0.07364559142467704,0.4583333333333333
fixed_parameters,33,180,0.07271839733251412,0.04684133670404922,0.6666666666666666
fixed_parameters,34,105,0.10616579419773267,0.07904289201973838,0.3904761904761905
fixed_parameters,35,144,0.08069086683456182,0.05569037008538723,0.5902777777777778
fixed_parameters,36,90,0.08614764248306866,0.06529155451708311,0.4111111111111111
fixed_parameters,37,47,0.1439864762270569,0.13078687979106846,0.02127659574468085
fixed_parameters,38,133,0.08540636009543137,0.05818523908275567,0.5864661654135338
fixed_parameters,39,310,0.050338396413081805,0.0388850430891426,0.6225806451612903
fixed_parameters,40,313,0.048503605179975096,0.033325689766460116,0.7571884984025559
fixed_parameters,41,101,0.08134395002860921,0.06003710203968569,0.46534653465346537
fixed_parameters,42,87,0.11727007382341373,0.09035776318854365,0.28735632183908044
fixed_parameters,43,133,0.06885391158335726,0.04880324248055922,0.5864661654135338
fixed_parameters,44,146,0.08717032258153322,0.055952940844859675,0.6506849315068494
fixed_parameters,45,88,0.10049365429460619,0.0771687187087693,0.38636363636363635
fixed_parameters,46,180,0.07249492678503693,0.057594612135290144,0.3888888888888889
fixed_parameters,47,56,0.12634969136042648,0.10671203295388947,0.21428571428571427
fixed_parameters,48,179,0.08049321478483798,0.04991319821349529,0.6759776536312849
fixed_parameters,49,211,0.04497331484552373,0.03023820527239695,0.7819905213270142
fixed_parameters,50,147,0.08597120663258986,0.054754872482987674,0.6122448979591837
fixed_parameters,51,118,0.09136087899716096,0.06316486517638238,0.5254237288135594
fixed_parameters,52,38,0.14842388138868073,0.13890812564565613,0.0
fixed_parameters,53,108,0.09454169512869326,0.06714259010894699,0.5
fixed_parameters,54,50,0.1357437853388839,0.1210964697923864,0.04
fixed_parameters,55,203,0.06998326764046561,0.04237823724499816,0.7389162561576355
fixed_parameters,56,162,0.08397022179923326,0.0538824872133605,0.6296296296296297
fixed_parameters,57,158,0.0812263361905118,0.05316519961134356,0.6392405063291139
fixed_parameters,58,119,0.08462115425792806,0.0574777380493413,0.5378151260504201
fixed_parameters,59,149,0.08585496856088677,0.05467032351442129,0.6241610738255033
fixed_parameters,60,112,0.1001669801849103,0.07067553839230901,0.45535714285714285
fixed_parameters,61,78,0.09318388349398266,0.0732238364414969,0.3333333333333333
fixed_parameters,62,224,0.04743415383182071,0.03488370303440876,0.7232142857142857
fixed_parameters,63,137,0.09026624120160154,0.05874737762402478,0.5912408759124088
fixed_parameters,64,271,0.048629289670906704,0.03824256969584874,0.6014760147601476
fixed_parameters,65,79,0.1092130397873896,0.08642659285302902,0.27848101265822783
fixed_parameters,66,122,0.0967944130769352,0.06539080578216558,0.5573770491803278
fixed_parameters,67,186,0.08440154355958453,0.05409149385755129,0.6236559139784946
fixed_parameters,68,188,0.04529177001072354,0.029871198756090536,0.7872340425531915
fixed_parameters,69,105,0.08855938652052694,0.06246624292481112,0.5142857142857142
fixed_parameters,70,84,0.11354608484969368,0.08700260302292502,0.34523809523809523
fixed_parameters,71,367,0.05560366500395326,0.03637573785194372,0.7247956403269755
fixed_parameters,72,232,0.054085733193121655,0.038734871645283546,0.6551724137931034
fixed_parameters,73,109,0.09042328318468273,0.06427686407487261,0.48623853211009177
fixed_parameters,74,68,0.11728031335691905,0.09513271695910742,0.2647058823529412
fixed_parameters,75,191,0.05787333968311267,0.04325686304750022,0.612565445026178
fixed_parameters,76,180,0.07303982828734436,0.046387413154574536,0.6777777777777778
fixed_parameters,77,381,0.04629111848323984,0.029717501205892238,0.800524934383202
fixed_parameters,78,279,0.056877588544029446,0.0400812186086589,0.6559139784946236
fixed_parameters,79,170,0.08013787575000676,0.0512521476241989,0.6647058823529411
fixed_parameters,80,85,0.06293624558133186,0.049001578799055916,0.49411764705882355
fixed_parameters,81,155,0.07698166948906761,0.05937907784455388,0.4645161290322581
fixed_parameters,82,194,0.07944968121338244,0.060448561254687165,0.4639175257731959
fixed_parameters,83,168,0.08018683969226206,0.05118467694502819,0.6428571428571429
fixed_parameters,84,76,0.10739988374822036,0.08511439731046132,0.2631578947368421
fixed_parameters,85,118,0.08335259291975657,0.06281406636387846,0.5084745762711864
fixed_parameters,86,174,0.07975534425651876,0.049170804405480446,0.6609195402298851
fixed_parameters,87,218,0.06440486151707686,0.03961891642418552,0.7339449541284404
