strategy,engine_id,n_cycles,health_rmse,health_mae,health_ci_coverage
pmmh_pooled,1,31,0.13522974147524208,0.12407837197688192,0.0
pmmh_pooled,2,49,0.1566327267106733,0.13570746475881335,0.10204081632653061
pmmh_pooled,3,126,0.10622684615153685,0.06946272348323841,0.6111111111111112
pmmh_pooled,4,106,0.10492949993681454,0.0714363364294612,0.5754716981132075
pmmh_pooled,5,98,0.11123664235075069,0.07601268426092986,0.5408163265306123
pmmh_pooled,6,105,0.10774104614956491,0.07424113336376077,0.580952380952381
pmmh_pooled,7,160,0.05291875771796789,0.036346094202358084,0.8
pmmh_pooled,8,166,0.07816432448924336,0.049552305282150946,0.7108433734939759
pmmh_pooled,9,55,0.16251630746934703,0.1327075933365748,0.21818181818181817
pmmh_pooled,10,192,0.05182874657861667,0.0351976821024149,0.8229166666666666
pmmh_pooled,11,83,0.13214825020119636,0.09364555464680055,0.4939759036144578
pmmh_pooled,12,217,0.048500467158451584,0.03262795795160112,0.8571428571428571
pmmh_pooled,13,195,0.05074425058502354,0.033909737896693375,0.8256410256410256
pmmh_pooled,14,46,0.19346731061511438,0.17487525353339936,0.021739130434782608
pmmh_pooled,15,76,0.07863707840130059,0.055150809125041375,0.6447368421052632
pmmh_pooled,16,113,0.06595445150066723,0.04713270303159274,0.6902654867256637
pmmh_pooled,17,165,0.056635743020548295,0.03891870274996879,0.7696969696969697
pmmh_pooled,18,133,0.06628316008198931,0.048918719721058775,0.6466165413533834
pmmh_pooled,19,135,0.06030727984015458,0.040705665982229085,0.762962962962963
pmmh_pooled,20,184,0.0702073755290706,0.049843488927545414,0.7065217391304348
pmmh_pooled,21,148,0.05905815073489494,0.04106905552704008,0.7297297297297297
pmmh_pooled,22,39,0.1647210988084942,0.1446251116761666,0.07692307692307693
pmmh_pooled,23,130,0.05447547737360891,0.03723954522910279,0.7692307692307693
pmmh_pooled,24,186,0.05172133250381056,0.037687443076098816,0.7419354838709677
pmmh_pooled,25,48,0.11869829827789678,0.09648575019602619,0.2708333333333333
pmmh_pooled,26,76,0.08397121981956443,0.061388141610148994,0.5394736842105263
pmmh_pooled,27,140,0.06070066938409128,0.04074545803382885,0.7642857142857142
pmmh_pooled,28,158,0.08212580328818479,0.0527429684181879,0.7025316455696202
pmmh_pooled,29,171,0.0611249521523066,0.03887266952972307,0.7953216374269005
pmmh_pooled,30,143,0.09835956036589123,0.06486331323990951,0.6503496503496503
pmmh_pooled,31,196,0.062459252972835555,0.04583489147263498,0.6938775510204082
pmmh_pooled,32,145,0.05290184181578545,0.03769367778370406,0.7655172413793103
pmmh_pooled,33,50,0.18339220474594986,0.15562185205021803,0.12
pmmh_pooled,34,203,0.05689760392251495,0.04436285018377975,0.6699507389162561
pmmh_pooled,35,198,0.09224707479462571,0.05884384514187474,0.702020202020202
pmmh_pooled,36,126,0.11980518825314107,0.0789924257932531,0.5714285714285714
pmmh_pooled,37,121,0.06656976354560513,0.05227478829222136,0.5950413223140496
pmmh_pooled,38,125,0.11660508227399573,0.07637325762516367,0.608
pmmh_pooled,39,37,0.11122814408973855,0.09415445361401915,0.2702702702702703
pmmh_pooled,40,133,0.11370962551622313,0.07399483039218886,0.6165413533834586
pmmh_pooled,41,123,0.0693147693898346,0.055667721327538916,0.5447154471544715
pmmh_pooled,42,156,0.06771148907465295,0.05273141134620007,0.6153846153846154
pmmh_pooled,43,172,0.06948386677459634,0.045651167547212344,0.7441860465116279
pmmh_pooled,44,54,0.1315427485096603,0.10719159821769303,0.2962962962962963
pmmh_pooled,45,152,0.09833199202864527,0.06399868875504258,0.6776315789473685
pmmh_pooled,46,146,0.0787046581541062,0.050978480238083324,0.6917808219178082
pmmh_pooled,47,73,0.15583376900215523,0.11621719476782592,0.3972602739726027
pmmh_pooled,48,78,0.10807763102552827,0.07780501910928958,0.5256410256410257
pmmh_pooled,49,303,0.04564924996661791,0.03256333144977951,0.8547854785478548
pmmh_pooled,50,74,0.09288725509447832,0.07192072968180029,0.527027027027027
pmmh_pooled,51,144,0.0787421951686597,0.05079679726043565,0.6944444444444444
pmmh_pooled,52,189,0.04924279788456522,0.03619563761334333,0.7619047619047619
pmmh_pooled,53,164,0.06345419102409203,0.04239982242428465,0.7073170731707317
pmmh_pooled,54,121,0.054408032394391105,0.03778773150600692,0.8016528925619835
pmmh_pooled,55,113,0.07569717958025936,0.052585634758475844,0.6460176991150443
pmmh_pooled,56,136,0.11322717570192649,0.07400435446472015,0.6029411764705882
pmmh_pooled,57,160,0.08228783220309516,0.053265894919198864,0.6875
pmmh_pooled,58,176,0.06259708285145323,0.041663368903869166,0.7613636363636364
pmmh_pooled,59,94,0.06349978688916026,0.04551966707051757,0.648936170212766
pmmh_pooled,60,147,0.0784753273929532,0.05052627564335392,0.6938775510204082
pmmh_pooled,61,159,0.060515735893811956,0.04535378533414409,0.710691823899371
pmmh_pooled,62,232,0.045275862837920546,0.03177941974600475,0.853448275862069
pmmh_pooled,63,155,0.08660735839462816,0.05441308795050537,0.7161290322580646
pmmh_pooled,64,168,0.07352941462540422,0.05117361000218807,0.7023809523809523
pmmh_pooled,65,71,0.06901813487450867,0.05224740881831215,0.647887323943662
pmmh_pooled,66,147,0.09050416086327888,0.057454969841100385,0.7006802721088435
pmmh_pooled,67,71,0.09839596227831011,0.07294196179568281,0.5070422535211268
pmmh_pooled,68,187,0.06703566343067038,0.04601738229231926,0.7005347593582888
pmmh_pooled,69,54,0.13318315536440323,0.1105666905367747,0.25925925925925924
pmmh_pooled,70,152,0.08034747835324885,0.051000649447195276,0.743421052631579
pmmh_pooled,71,68,0.09061526871857603,0.07299850987687799,0.4264705882352941
pmmh_pooled,72,131,0.0670940236684864,0.04696474306867824,0.6793893129770993
pmmh_pooled,73,112,0.06278041763773176,0.04206789198548159,0.7589285714285714
pmmh_pooled,74,137,0.08614955317484059,0.055754852047651564,0.708029197080292
pmmh_pooled,75,88,0.08310839659878425,0.05906258263961648,0.5681818181818182
pmmh_pooled,76,205,0.05914321666657423,0.04315231890887301,0.6878048780487804
pmmh_pooled,77,162,0.06632097110278756,0.04561624727432358,0.7283950617283951
pmmh_pooled,78,72,0.06598229459612827,0.04892929478002211,0.6666666666666666
pmmh_pooled,79,101,0.08155772566536548,0.058791015016292164,0.5841584158415841
pmmh_pooled,80,133,0.08421421611018924,0.054708558632588125,0.6842105263157895
pmmh_pooled,81,213,0.0615597255065489,0.04276523047447677,0.7370892018779343
pmmh_pooled,82,162,0.07042600660149365,0.05135339309135271,0.6296296296296297
pmmh_pooled,83,73,0.10086147772578496,0.07638307537741695,0.4657534246575342
pmmh_pooled,84,172,0.07643352030750494,0.04838551388861087,0.7209302325581395
pmmh_pooled,85,34,0.19418641527514824,0.17688298794499643,0.0
pmmh_pooled,86,110,0.09905136800876535,0.06834100132658667,0.5727272727272728
pmmh_pooled,87,56,0.09101381186572252,0.07373482366696327,0.42857142857142855
pmmh_pooled,88,68,0.14464377049378985,0.11525677288006846,0.22058823529411764
pmmh_pooled,89,177,0.07673876092012982,0.04698001015105653,0.751412429378531
pmmh_pooled,90,146,0.08698098053997834,0.057033922194896586,0.6986301369863014
pmmh_pooled,91,234,0.08875200397554464,0.053625906174488265,0.7393162393162394
pmmh_pooled,92,150,0.10411348813455089,0.06708124035525803,0.64
pmmh_pooled,93,244,0.08141413516808393,0.04851399050300793,0.7622950819672131
